t_s,theta_ref_graus,I_loop_mA,V_RL_V
0.664,239.04,5.05771279,1.2644282
0.665,239.4,5.05931535,1.26482884
0.666,239.76,5.06091792,1.26522948
0.667,240.12,5.06252048,1.26563012
0.668,240.48,5.06412304,1.26603076
0.669,240.84,5.06572561,1.2664314
0.67,241.2,5.06732817,1.26683204
0.671,241.56,5.06893074,1.26723268
0.672,241.92,5.0705333,1.26763333
0.673,242.28,5.07213586,1.26803397
0.674,242.64,5.07373843,1.26843461
0.675,243,5.07534099,1.26883525
0.676,243.36,5.07694356,1.26923589
0.677,243.72,5.07854612,1.26963653
0.678,244.08,5.08014869,1.27003717
0.679,244.44,5.08175125,1.27043781
0.68,244.8,5.08335381,1.27083845
0.681,245.16,5.08495638,1.27123909
0.682,245.52,5.08655894,1.27163974
0.683,245.88,5.08816151,1.27204038
0.684,246.24,5.08976407,1.27244102
0.685,246.6,5.09136663,1.27284166
0.686,246.96,5.0929692,1.2732423
0.687,247.32,5.09457176,1.27364294
0.688,247.68,5.09617433,1.27404358
0.689,248.04,5.09777689,1.27444422
0.69,248.4,5.09937945,1.27484486
0.691,248.76,5.10098202,1.2752455
0.692,249.12,5.10258458,1.27564615
0.693,249.48,5.10418715,1.27604679
0.694,249.84,5.10578971,1.27644743
