# Dados do modulador AM - ECOM060 / Cap.5.3 - UFAL 2026.2
# s_am = (1+ma*m)*Ac*cos(2pi*fc*t) + ruido ; ma=0.50 fc=2000Hz sigma=0.020
"# Colunas: t[s], mensagem, portadora, sinal_am"
t,mensagem,portadora,sinal_am
0.005050,0.514556,0.809017,1.055426
0.005060,0.512745,0.728969,0.894350
0.005070,0.510937,0.637424,0.820437
0.005080,0.509133,0.535827,0.646788
0.005090,0.507334,0.425779,0.598094
0.005100,0.505538,0.309017,0.379208
0.005110,0.503746,0.187381,0.234671
0.005120,0.501959,0.062791,0.083813
0.005130,0.500176,-0.062791,-0.067238
0.005140,0.498397,-0.187381,-0.254234
0.005150,0.496623,-0.309017,-0.352162
0.005160,0.494854,-0.425779,-0.533435
0.005170,0.493089,-0.535827,-0.657910
0.005180,0.491329,-0.637424,-0.755068
0.005190,0.489574,-0.728969,-0.922434
0.005200,0.487824,-0.809017,-0.979865
0.005210,0.486079,-0.876307,-1.053793
0.005220,0.484339,-0.929776,-1.142397
0.005230,0.482604,-0.968583,-1.211060
0.005240,0.480875,-0.992115,-1.185654
0.005250,0.479152,-1.000000,-1.212239
0.005260,0.477433,-0.992115,-1.236723
0.005270,0.475721,-0.968583,-1.197338
0.005280,0.474014,-0.929776,-1.130222
0.005290,0.472313,-0.876307,-1.069172
0.005300,0.470618,-0.809017,-1.010430
0.005310,0.468929,-0.728969,-0.903320
0.005320,0.467246,-0.637424,-0.760124
0.005330,0.465569,-0.535827,-0.645467
0.005340,0.463898,-0.425779,-0.567355
0.005350,0.462234,-0.309017,-0.327148
0.005360,0.460576,-0.187381,-0.222617
0.005370,0.458925,-0.062791,-0.081219
0.005380,0.457280,0.062791,0.076734
0.005390,0.455642,0.187381,0.245668
0.005400,0.454010,0.309017,0.364458
0.005410,0.452386,0.425779,0.523066
0.005420,0.450768,0.535827,0.675784
0.005430,0.449157,0.637424,0.800611
0.005440,0.447553,0.728969,0.881334
0.005450,0.445957,0.809017,0.996162
0.005460,0.444367,0.876307,1.089046
0.005470,0.442785,0.929776,1.134110
0.005480,0.441211,0.968583,1.223318
0.005490,0.439643,0.992115,1.235809
0.005500,0.438083,1.000000,1.206022
0.005510,0.436531,0.992115,1.204126
0.005520,0.434987,0.968583,1.163899
0.005530,0.433450,0.929776,1.137908
0.005540,0.431921,0.876307,1.071701
0.005550,0.430400,0.809017,0.986641
0.005560,0.428886,0.728969,0.888841
0.005570,0.427381,0.637424,0.780518
0.005580,0.425884,0.535827,0.628627
