Time,Subsystem1.i_in,Subsystem1.i_read
0.0588,0.0010001147,0.001
0.0589,0.0010004401,0.001
0.059,0.0010006039,0.001
0.0591,0.0010004002,0.001
0.0592,0.0010007141,0.001
0.0593,0.0010011531,0.001001
0.0594,0.0010005818,0.001
0.0595,0.0010002478,0.001
0.0596,0.0010005283,0.001
0.0597,0.0010003034,0.001
0.0598,0.0010003288,0.001
0.0599,0.0010006619,0.001
0.06,0.0010005336,0.001
0.0601,0.0010007792,0.001
0.0602,0.0010006772,0.001
0.0603,0.0010001871,0.001
0.0604,0.0010006279,0.001
0.0605,0.0010002046,0.001
0.0606,0.0010005826,0.001
0.0607,0.0010005085,0.001
0.0608,0.0010008196,0.001
0.0609,0.0010001459,0.001
0.061,0.0010003798,0.001
0.0611,0.0010003344,0.001
0.0612,0.0010003226,0.001
0.0613,0.0010007742,0.001
0.0614,0.0010003977,0.001
0.0615,0.0010002048,0.001
0.0616,0.0010005673,0.001
0.0617,0.0010005353,0.001
0.0618,0.001000626,0.001
0.0619,0.0010001503,0.001
0.062,0.0010001138,0.001
0.0621,0.0010006403,0.001
0.0622,0.0010000775,0.001
0.0623,0.0010008176,0.001
0.0624,0.0010008157,0.001
0.0625,0.0010006722,0.001
0.0626,0.0010002701,0.001
0.0627,0.0010003807,0.001
0.0628,0.0010006343,0.001
0.0629,0.0009999669,0.000999
0.063,0.0010004484,0.001
0.0631,0.0009998456,0.000999
0.0632,0.0010004373,0.001
0.0633,0.0010007692,0.001
0.0634,0.0010007205,0.001
0.0635,0.001000489,0.001
0.0636,0.0010008534,0.001
0.0637,0.0010002799,0.001
0.0638,0.001000253,0.001
0.0639,0.0010002129,0.001
0.064,0.0010003735,0.001
0.0641,0.0010005619,0.001
0.0642,0.0010003821,0.001
0.0643,0.001000196,0.001
0.0644,0.0010004722,0.001
0.0645,0.001000554,0.001
0.0646,0.0010003785,0.001
0.0647,0.0010003911,0.001
0.0648,0.0010000063,0.001
0.0649,0.0010007371,0.001
0.065,0.0010008417,0.001
